,delta,alpha mean,binnedSd std
0,10.0,1.2423171958044463,0.036468745525808054
1,9.090909090909092,1.2599005088441912,0.024024084928556576
2,8.333333333333334,1.2447231724988956,0.018527842636122387
3,7.692307692307692,1.2009521965928414,0.017336329159022286
4,7.142857142857148,1.1019127704340348,0.022407355725358607
5,6.6666666666666705,0.9512235913167741,0.03101692901898868
6,6.250000000000004,0.779112000959777,0.031972122308842096
7,5.882352941176474,0.5860673652510163,0.02574923451426854
8,5.555555555555558,0.3821078652447864,0.01961466965129739
9,5.263157894736845,0.2119210277796111,0.012542084301937734
10,5.000000000000003,0.10894904845349365,0.006275393104580328
11,4.761904761904764,0.05168808702073965,0.003206026168945576
12,4.545454545454548,0.02478844771193584,0.001665546025277958
13,4.347826086956523,0.011859593923757409,0.001186170310785918
14,4.166666666666668,0.006899288985661743,0.001029407982274677
15,4.000000000000002,0.0021833430093064566,0.0005793000172636813
16,3.8461538461538476,0.0016640050122450289,0.000715528447180046
